Title,Company,Platform,Location,Salary,Type,PostedAt,URL
"Mid/Senior AI Video Artist","EverAI",Remotive,"Worldwide","-",full time,2026-04-24T08:15:19,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994
"Office Assistant","Coalition Technologies ",Remotive,"Worldwide","$31,2k- $52k",full time,2026-04-11T20:16:26,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
"Freelance Writer","IAPWE",Remotive,"Worldwide","$50-$75 /hour",freelance,2026-04-04T17:01:43,https://remotive.com/remote-jobs/writing/freelance-writer-1185979
"Copywriter","Coalition Technologies ",Remotive,"Worldwide","$20k -$35k",freelance,2026-04-02T20:01:09,https://remotive.com/remote-jobs/writing/copywriter-1749306
